WORKORDER_BASE_ID,WORKORDER_LOT_ID,Order Shortage
0100646,1,
0100647,1,
0100648,1,
0100649,1,
0100650,1,
0100651,1,
0100652,1,
0100653,1,
0100654,1,
0100655,1,
0100656,1,"12M-GRP OP#20 Loss: 21.3%, "
0100657,1,
0100657,R,"A-D3 OP#18 Loss: 49.9%, "
0100658,1,
0100659,1,
0100660,1,
0100660,R,
0100661,1,
0100662,1,"F-MILL GRP OP#60 Loss: 10.4%, "
0100663,1,
0100664,1,"CLN-ADS OP#15 Loss: 20.8%, A-D1 OP#40 Loss: 15.6%, 14M OP#60 Loss: 18.7%, CLN-L OP#80 Loss: 18.2%, S 149 #2 OP#140 Loss: 26.4%, "
0100665,1,
0100666,1,
0100667,1,
0100668,1,
0100669,1,
0100670,1,
0100671,1,"A-D2 OP#50 Loss: 45.2%, S 149 GRP OP#130 Loss: 48.2%, "
0100672,1,
0100673,1,
0100674,1,
0100676,1,
0100677,1,
0100677,2,
0100679,1,
0100682,1,
0100683,1,
0100684,1,
0100685,1,
0100686,1,
0100687,1,
0100688,1,"MU PACKING OP#150 Loss: 41.3%, "
0100689,1,
0100690,1,
0100691,1,
0100692,1,
0100694,1,
0100695,1,
0100696,1,
0100697,1,
0100698,1,
0100699,1,
0100700,1,
0100701,1,
0100702,1,
0100703,1,"12M-1 OP#20 Loss: 29.4%, CLN-L OP#40 Loss: 23.1%, "
0100704,1,"S 76 OP#120 Loss: 26.9%, "
0100705,1,
0100706,1,
0100707,1,
0100708,1,
0100709,1,
0100710,1,
0100715,1,
0100719,1,
0100720,1,
0100721,1,
0100722,1,
0100723,1,"A NEW GAS OP#60 Loss: 44.6%, "
0100724,1,
0100725,1,
0100726,1,
0100727,1,
0100728,1,
0100729,1,"F-MILL GRP OP#30 Loss: 11.5%, "
0100730,1,
0100731,1,"F-CLN OP#110 Loss: 10.9%, F-SLIT OP#120 Loss: 10.6%, F-CLN OP#140 Loss: 21.6%, "
0100732,1,
0100733,1,
0100734,1,
0100735,1,
0100736,1,"12M-2 OP#20 Loss: 13.4%, "
0100738,1,
0100739,1,
0100740,1,
0100742,1,
0100743,1,
0100744,1,
0100745,1,
0100746,1,
0100747,1,
0100748,1,
0100749,1,
0100750,1,
0100751,1,
0100752,1,
0100753,1,
0100754,1,
0100755,1,
0100756,1,"12M-1 OP#20 Loss: 19.3%, CLN-L OP#40 Loss: 14.9%, S 76 OP#50 Loss: 16.0%, A-D1 OP#70 Loss: 14.5%, "
0100757,1,
0100757,2,
0100758,1,
0100759,1,
0100761,1,
0100762,1,
0100767,1,
0100768,1,
0100770,1,
0100771,1,"12M-GRP OP#20 Loss: 41.6%, "
0100772,1,"F-CLN OP#110 Loss: 15.0%, F-SLIT OP#120 Loss: 14.4%, F-MILL GRP OP#130 Loss: 16.7%, "
0100773,1,
0100774,1,
0100775,1,
0100776,1,
0100777,1,"12M-GRP OP#20 Loss: 24.3%, CLN-L OP#30 Loss: 11.2%, "
0100778,1,"12M-2 OP#20 Loss: 56.4%, CLN-L OP#30 Loss: 38.5%, A-D1 OP#50 Loss: 38.0%, 12M-GRP OP#60 Loss: 29.8%, CLN-L OP#90 Loss: 11.3%, "
0100779,1,"12M-2 OP#20 Loss: 32.3%, "
0100780,1,
0100781,1,
0100782,1,
0100783,1,
0100784,1,
0100785,1,
0100786,1,
0100787,1,
0100789,1,
0100790,1,
0100791,1,
0100792,1,
0100793,1,
0100794,1,"CLN-L OP#110 Loss: 24.5%, "
0100794,R,
0100795,1,
0100796,1,
0100797,1,
0100799,1,
0100800,1,
0100801,1,
0100802,1,"12M-2 OP#20 Loss: 66.0%, CLN-L OP#30 Loss: 13.8%, B PICKLE OP#50 Loss: 19.4%, S 76 OP#60 Loss: 15.0%, "
0100803,1,
0100804,1,
0100805,1,
0100808,1,"A-D1 OP#200 Loss: 68.1%, 12M-GRP OP#210 Loss: 55.9%, CLN-L OP#235 Loss: 51.7%, "
0100809,1,"A-D1 OP#70 Loss: 33.4%, "
0100810,1,
0100811,1,"A-D1 OP#17 Loss: 21.0%, "
0100812,1,
0100814,1,
0100815,1,
0100816,1,
0100818,1,"A-D1 OP#80 Loss: 67.1%, "
0100819,1,
0100820,1,
0100821,1,"A-D1 OP#80 Loss: 69.7%, "
0100822,1,
0100823,1,
0100824,1,
0100825,1,
0100826,1,
0100827,1,"S 149 GRP OP#30 Loss: 23.8%, "
0100828,1,
0100829,1,
0100830,1,"A-D1 OP#90 Loss: 44.9%, "
0100831,1,
0100832,1,
0100833,1,
0100834,1,
0100835,1,
0100836,1,
0100837,1,
0100838,1,"14M OP#50 Loss: 49.0%, "
0100839,1,"MU PACKING OP#10 Loss: 56.1%, "
0100840,1,"S 189 OP#20 Loss: 69.5%, S 149 #2 OP#50 Loss: 18.1%, "
0100841,1,
0100842,1,
0100843,1,
0100844,1,
0100845,1,
0100846,1,"F-MILL #1 OP#100 Loss: 11.2%, F-MILL #2 OP#130 Loss: 22.6%, F-CLN OP#140 Loss: 14.5%, "
0100848,1,
0100849,1,
0100850,1,
0100851,1,
0100852,1,
0100855,1,
0100856,1,"CLN-L OP#40 Loss: 50.0%, "
0100857,1,
0100858,1,"F-CLN OP#140 Loss: 17.5%, F WRAP OP#160 Loss: 33.6%, "
0100859,1,
0100860,1,
0100861,1,
0100862,1,"A-D1 OP#90 Loss: 28.8%, "
0100863,1,
0100864,1,
0100865,1,"12M-2 OP#50 Loss: 40.9%, CLN-L OP#135 Loss: 34.9%, "
0100866,1,"A-D1 OP#120 Loss: 18.6%, "
0100867,1,
0100868,1,
0100869,1,
0100870,1,
0100871,1,"A-D GRP OP#190 Loss: 23.7%, "
0100872,1,
0100873,1,
0100874,1,
0100875,1,
0100876,1,"A-D GRP OP#120 Loss: 20.2%, 12M-2 OP#150 Loss: 13.1%, "
0100877,1,
0100879,1,
0100881,1,"S 149 #1 OP#100 Loss: 15.1%, "
0100882,1,
0100882,R,"F-MILL #1 OP#90 Loss: 53.6%, "
0100883,1,
0100884,1,"S 149 GRP OP#90 Loss: 51.2%, "
0100885,1,
0100886,1,
0100888,1,
0100889,1,
0100890,1,
0100891,1,
0100891,2,
0100892,1,
0100893,1,
0100894,1,
0100895,1,"S 189 OP#60 Loss: 16.7%, "
0100896,1,
0100897,1,
0100899,1,"A-D1 OP#80 Loss: 67.9%, S 149 #1 OP#150 Loss: 25.3%, "
0100900,1,"B PICKLE OP#100 Loss: 49.4%, "
0100900,R,
0100901,1,"A-D1 OP#80 Loss: 42.0%, "
0100902,1,"A-D1 OP#80 Loss: 37.9%, S 149 GRP OP#105 Loss: 50.5%, S 149 #1 OP#150 Loss: 50.6%, "
0100903,1,"S 149 #1 OP#150 Loss: 50.9%, "
0100904,1,"12M-1 OP#20 Loss: 26.1%, CLN-L OP#40 Loss: 18.5%, S 189 OP#50 Loss: 14.8%, "
0100905,1,
0100906,1,
0100907,1,"A-D2 OP#14 Loss: 25.8%, "
0100908,1,
0100909,1,
0100910,1,
0100911,1,
0100913,1,
0100914,1,"BB OP#100 Loss: 49.2%, "
0100915,1,"S 149 #1 OP#85 Loss: 69.8%, "
0100916,1,
0100918,1,
0100919,1,
0100919,2,"12M-GRP OP#160 Loss: 28.9%, "
0100920,1,
0100921,1,
0100923,1,
0100924,1,
0100925,1,"S 149 #1 OP#30 Loss: 67.2%, "
0100929,1,"A-D GRP OP#80 Loss: 15.4%, "
0100930,1,
0100930,R,
0100931,1,
0100932,1,
0100932,2,"A-D2 OP#70 Loss: 33.5%, "
0100932,3,
0100933,1,
0100934,1,
0100935,1,
0100936,1,
0100937,1,"S 76 OP#50 Loss: 43.3%, F-MILL #1 OP#90 Loss: 42.5%, MU PACKING OP#150 Loss: 12.0%, "
0100939,1,
0100940,1,
0100942,1,"F-MILL #1 OP#90 Loss: 26.4%, F-MILL #2 OP#120 Loss: 70.1%, MU PACKING OP#150 Loss: 72.5%, "
0100943,1,
0100944,1,
0100945,1,
0100946,1,"F-CLN OP#100 Loss: 21.1%, "
0100947,1,
0100948,1,
0100950,1,
0100951,1,
0100952,1,
0100953,1,
0100954,1,
0100955,1,
0100956,1,
0100956,2,
0100957,1,
0100958,1,
0100958,2,
0100958,R,
0100959,1,
0100960,1,
0100961,1,
0100962,1,
0100963,1,
0100964,1,
0100965,1,
0100966,1,
0100967,1,
0100968,1,
0100969,1,"12M-2 OP#20 Loss: 19.1%, CLN-L OP#30 Loss: 15.4%, A-D1 OP#50 Loss: 16.1%, "
0100971,1,
0100972,1,
0100973,1,
0100975,1,"S 149 #2 OP#30 Loss: 31.7%, "
0100976,1,
0100977,1,
0100978,1,"A-D2 OP#70 Loss: 49.8%, "
0100979,1,
0100980,1,
0100983,1,
0100984,1,
0100985,1,
0100986,1,
0100987,1,
0100987,R,
0100988,1,"CLN-ADS OP#16 Loss: 81.6%, ZHI OP#20 Loss: 59.3%, "
0100989,1,
0100990,1,
0100991,1,
0100992,1,
0100993,1,
0100995,1,
0100995,R,
0100996,1,
0100997,1,
0100998,1,"A-D GRP OP#60 Loss: 35.9%, "
0100999,1,
0101000,1,
0101001,1,
0101002,1,"A-D1 OP#70 Loss: 35.4%, "
0101003,1,"12M-GRP OP#20 Loss: 15.0%, "
0101004,1,
0101005,1,
0101005,2,
0101006,1,
0101007,1,"S 149 #1 OP#25 Loss: 15.7%, BB OP#50 Loss: 18.3%, "
0101008,1,
0101010,1,"A-D1 OP#30 Loss: 24.1%, "
0101011,1,
0101012,1,
0101013,1,
0101014,1,
0101016,1,
0101017,1,"A-D1 OP#80 Loss: 28.7%, S 149 #1 OP#101 Loss: 83.4%, "
0101018,1,
0101019,1,
0101020,1,
0101021,1,
0101021,2,
0101021,3,
0101022,1,
0101023,1,
0101024,1,
0101025,1,
0101026,1,
0101027,1,
0101028,1,
0101029,1,
